"Scenario","Variable","time_center","AR1","Variance","CV","Skewness","Kurtosis","Reddening"
"8y","ctotal",1994,-0.10230860894143,1.34175484527234,-37.5907427731309,1.91059621016425,4.34215307863761,1.23993989477496
"8y","ctotal",1995,-0.119770208496693,1.38616146427741,-19.8103657381416,1.86466033550921,4.10659984650882,1.10381984502785
"8y","ctotal",1996,-0.0770934507334089,1.44591368474895,-9.13843495307782,1.90176888480545,4.08228805676115,1.09558450502463
"8y","ctotal",1997,-0.144469118809044,1.515500724231,-13.9207119971649,1.70981411706594,3.15374975216268,1.01250167480597
"8y","ctotal",1998,0.0889125528601284,2.33771949498537,44.7611431041177,1.9508498003029,3.49229199677461,1.39567060611709
"8y","ctotal",1999,0.00110572091628912,2.2535453110042,19.8964073715774,2.00970610985241,3.69980993128135,1.05645944581131
"8y","ctotal",2000,-0.00363389233985418,2.28981128200061,25.2594175729872,1.97681004589147,3.59641782278719,0.98780171121766
"8y","ctotal",2001,-0.0801997246902306,2.61271376888094,6.29792002677346,1.5301367622081,1.51229293375737,0.882714447350367
"8y","ctotal",2002,0.0803931981780657,3.01895108790198,4.20990337836851,1.18804915787025,0.15307217291715,1.21800628587123
"8y","ctotal",2003,-0.0983224457673988,3.63987483243324,-175.097736705714,0.312015841275336,1.82774605356623,1.44628562222229
"8y","ctotal",2004,0.226349680573995,6.28937208984718,-7.13494013049907,-0.806826733034318,2.49243312717203,3.39070262687607
"8y","ctotal",2005,-0.0486049788528749,7.49261301279173,-22.6728884745056,-0.573924526532198,1.60308506530024,2.707130275318
"8y","ctotal",2006,-0.00938556733717383,7.56247507454705,-85.8222881768986,-0.667958203871559,1.61024680003797,1.91004116358554
"8y","ctotal",2007,-0.00738979769089712,7.51929959947297,435.777098643719,-0.718565781892603,1.71772067739651,2.02781953779189
"8y","evapm",1988,-0.0949582994179508,0.000917224640343777,33.8125673013033,0.16822391844533,-0.986787852589638,1.80388099603844
"8y","evapm",1989,-0.107421602821856,0.000907179644183293,59.9675836930001,0.207375292162138,-0.92228949226783,1.73845138345171
"8y","evapm",1990,-0.113051595658877,0.00123347131045096,-8.67272059504109,-0.152032875378245,-0.344234617414657,1.45353613778266
"8y","evapm",1991,0.00798054738679212,0.00129695263107217,-5.7348773886523,0.00560466853100039,-0.607476596728765,1.4235639434886
"8y","evapm",1992,-0.0138302562802014,0.00131574872021137,-6.99685762230272,-0.0867610693057181,-0.680215606315323,1.53008692419018
"8y","evapm",1993,0.0932911810733242,0.00127584508238872,-6.32123854747819,-0.106123300826994,-0.616659809109753,1.48164052866533
"8y","evapm",1994,0.110859448048121,0.0012902709109079,-35.911419239079,-0.304844675333826,-0.50305479124878,1.54039834214835
"8y","evapm",1995,0.0991645980175006,0.00126875133318467,19.4269756833002,-0.52530857359262,-0.258683590127803,1.8219506319036
"8y","evapm",1996,0.126379972358843,0.0012583273653911,18.1869043128854,-0.526417533113953,-0.227621904827178,2.13587676584152
"8y","evapm",1997,0.209126760791488,0.00131793367106239,-14.0910331954687,-0.301358176237479,-0.59088363335891,2.07345284543628
"8y","evapm",1998,0.161955364828328,0.00134307483455194,-25.1621987578473,-0.382299274081886,-0.641144469569362,2.05492715337905
"8y","evapm",1999,0.206998288704897,0.00147085156372885,10.1513488858039,-0.457467077461959,-0.43182800736188,2.13075264439253
"8y","evapm",2000,0.290186623086702,0.00161014210450834,6.49638729140295,-0.469080870502599,-0.631201710969727,2.31686627521926
"8y","evapm",2001,0.304241259290908,0.00161845622570655,6.36419813439389,-0.471650483145789,-0.646336422655895,2.65518992117413
"8y","evapm",2002,0.349673532020797,0.00202727424718018,4.82171763255383,-0.02450350359005,-0.275744206243324,2.77441692320211
"8y","evapm",2003,-0.0340399339332903,0.00324310008143149,18.5779584711874,-0.867204773626495,1.33316998933556,1.38972132822963
"8y","evapm",2004,0.148554125654139,0.00347580438515633,103.624765181188,-0.736487925661326,0.672400940192295,1.3859849396636
"8y","evapm",2005,0.136657180889511,0.00333805767071467,-51.613942058188,-0.731466385131135,0.859044451395652,1.57907230986924
"8y","evapm",2006,0.124762012933053,0.00337160136791083,-27.2495596041528,-0.667533948228989,0.713622528634918,1.45807266262473
"8y","evapm",2007,0.118363919582986,0.0033848424119535,-64.9545408751168,-0.733078141271605,0.754802745985095,1.41891134753882
"8y","npp",1988,0.0341961037416311,0.00147662665910583,-3.74593766038487,-1.17880326052945,2.12679680142594,2.121681524327
"8y","npp",1989,0.13723891846832,0.00150414089297581,-3.18874616653841,-1.00146356544853,1.66910427105432,1.46431236490626
"8y","npp",1990,0.0392573083380131,0.00201590153608482,-6.42452379393779,-0.376195224009547,1.2549016748245,1.74081451065349
